stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code,state
211320,,North Ryde Station,-33.79421813,151.13798663,1,,0,,,NSW
211420,,West Ryde Station,-33.80719476,151.09019218,1,,0,,,NSW
211430,,Meadowbank Station,-33.81579356,151.09010555,1,,0,,,NSW
211497,,Meadowbank Wharf,-33.82103535,151.08990208,1,,0,,,NSW
212010,,Thornleigh Station,-33.73189695,151.07815508,1,,0,,,NSW
212710,,Olympic Park Station,-33.84659492,151.06932974,1,,0,,,NSW
213820,,Rhodes Station,-33.83049189,151.08704933,1,,0,,,NSW
G200055,,"Museum Station, Elizabeth St",-33.87522017,151.20966977,1,,0,,,NSW
G204625,,"Abbotsford Wharf, Great North Rd",-33.84506411,151.12855149,1,,0,,,NSW
G206113,,"Milsons Point Station, Broughton St",-33.84658156,151.21272174,1,,0,,,NSW
G206114,,Broughton St Opp Milsons Point Station,-33.84508276,151.21255087,1,,0,,,NSW
G206120,,"Milsons Point Wharf, Alfred St Sth",-33.84990544,151.21142739,1,,0,,,NSW
G20652,,"Greenwich Point Wharf, Lower Serpentine Rd",-33.84181510,151.18102333,1,,0,,,NSW
G209513,,"Manly Wharf, Belgrave St",-33.79782227,151.28473608,1,,0,,,NSW
G211215,,Victoria Rd Opp Ryde Police Station,-33.81533933,151.10051160,1,,0,,,NSW
G2112251,,"Ryde Fire Station, Blaxland Rd",-33.80867510,151.10581671,1,,0,,,NSW
G211327,,Delhi Rd Opp North Ryde Station,-33.79480481,151.14063734,1,,0,,,NSW
G211414,,"Jennifer Park, Wharf Rd",-33.81202556,151.07221232,1,,0,,,NSW
G2114157,,Wharf Rd Before Taylor Av,-33.81023476,151.07159842,1,,0,,,NSW
G211437,,Station St Opp St Michael's Primary School,-33.81320171,151.08675443,1,,0,,,NSW
G211439,,"Meadowbank Station, Railway Rd",-33.81662232,151.09038255,1,,0,,,NSW
G211455,,Taylor Av Before Wharf Rd,-33.81151713,151.07232852,1,,0,,,NSW
G211456,,Wharf Rd Before Appleroth St,-33.80932310,151.07110181,1,,0,,,NSW
G211457,,Wharf Rd Near Victoria Rd,-33.80791200,151.07072184,1,,0,,,NSW
G211475,,Wharf Rd Opp Jennifer Park,-33.81215686,151.07205664,1,,0,,,NSW
G211480,,Hope St After Wharf Rd,-33.81381040,151.07218909,1,,0,,,NSW
G211481,,Hope St Before Wharf Rd,-33.81365061,151.07211674,1,,0,,,NSW
G211511,,Victoria Rd At Wharf Rd,-33.80743537,151.07014874,1,,0,,,NSW
G2137110,,"Concord Fire Station, Wellbank St",-33.85830128,151.09264195,1,,0,,,NSW
G2137112,,"Concord Fire Station, Concord Rd",-33.85848476,151.09227271,1,,0,,,NSW
200030,,Martin Place Station,-33.86764769,151.21058267,1,,1,,,NSW
200040,,Museum Station,-33.87557110,151.20994628,1,,1,,,NSW
201110,,Kings Cross Station,-33.87448343,151.22222820,1,,1,,,NSW
201520,,Macdonaldtown Station,-33.89695934,151.18569469,1,,0,,,NSW
201710,,Green Square Station,-33.90607818,151.20257663,1,,1,,,NSW
202010,,Mascot Station,-33.92317637,151.18733540,1,,1,,,NSW
202020,,Domestic Airport Station,-33.93362984,151.18065972,1,,1,,,NSW
202030,,International Airport Station,-33.93497091,151.16584068,1,,1,,,NSW
202210,,Bondi Junction Station,-33.89119702,151.24837675,1,,1,,,NSW
202710,,Edgecliff Station,-33.87937104,151.23625289,1,,1,,,NSW
204310,,Erskineville Station,-33.90018265,151.18549590,1,,1,,,NSW
204410,,St Peters Station,-33.90727298,151.18074263,1,,1,,,NSW
